custid,test
366,30
1018,30
1628,30
3744,30
6014,30
7595,30
8081,30
8129,30
8345,30
10751,31
11305,31
11762,30
11997,31
12704,30
12976,30
13192,31
13756,31
14231,30
14573,30
14974,30
16049,30
16798,30
21653,31
21690,31
22835,30
23847,31
24968,30
29755,31
32107,30
32701,30
33052,30
33769,31
35362,30
36482,30
36933,30
37062,30
38362,31
39877,30
40938,31
41048,31
44432,30
48549,31
49789,31
50270,31
53671,31
55951,31
63798,30
64265,30
65209,31
67675,30
67832,31
68620,30
70127,31
71297,30
72283,30
72683,31
75996,30
76156,30
78231,30
78354,31
79261,30
82269,31
82423,31
82660,30
82709,31
83490,31
84401,31
84486,30
85334,30
93424,30
93460,30
94560,30
95844,30
95952,30
97485,31
98684,31
98978,31
100508,31
102816,30
102965,30
103128,30
103808,31
104790,31
104817,30
106092,30
106602,31
106812,31
107513,30
108481,30
108649,31
110147,30
110652,30
111834,31
112815,31
112836,30
113168,30
113232,31
113544,30
114497,30
115218,30
116531,31
117398,31
118208,30
118235,30
118654,31
119138,31
120519,31
123064,30
129584,31
129659,30
130518,30
130546,30
131846,30
132421,31
134058,31
134283,30
136878,31
136985,31
138905,30
139732,30
142299,31
143069,30
144817,31
145230,31
145844,31
146364,31
147740,31
148602,31
148668,31
148858,31
150483,30
151515,30
151735,31
152427,31
152804,30
152992,31
153642,30
153838,31
154255,30
158062,30
158957,31
160964,31
161563,31
161749,30
161972,30
162734,30
163927,30
164987,30
166215,31
166440,31
168540,30
170075,30
170983,30
173267,31
173601,31
174807,30
177777,30
177846,31
182131,31
184304,31
184356,31
186372,31
186500,30
194974,31
195145,30
196880,30
197733,30
200223,31
203423,30
205506,31
206475,31
211209,30
216684,30
217106,30
217386,31
218030,30
219067,30
220166,30
224194,30
227145,30
231176,30
231401,30
232821,30
235453,31
235625,31
235939,30
237032,30
238255,30
238750,30
241785,30
244887,31
246591,30
248438,30
248700,31
250639,31
250868,30
253374,30
253767,30
255044,30
255494,30
256516,30
256854,30
260351,31
260774,31
263059,31
263473,30
264245,31
267065,30
268254,31
273232,31
274160,30
276369,30
277728,31
277778,30
278030,30
279551,31
283104,31
283516,31
284860,30
291180,30
292215,30
292302,31
293029,30
294405,30
294684,31
297400,31
297459,31
298223,30
298567,31
299729,31
300581,31
302820,31
303159,30
304300,30
308450,31
308864,30
309521,30
309808,30
313108,30
315877,31
316996,30
320112,30
323599,31
324594,31
324851,31
325259,30
329017,30
329165,31
333065,30
340778,30
341765,30
343441,30
349182,31
350016,30
350239,30
351973,31
354427,31
355317,31
358917,30
358922,31
359796,31
360763,31
361115,30
361811,31
364052,30
364512,30
364903,30
366148,31
366924,31
367195,30
370710,30
371374,31
372833,31
374359,30
375700,30
376255,30
377918,31
378722,30
382650,31
390209,30
390990,31
392940,30
395096,30
395618,30
397314,30
398796,30
400464,31
400784,30
403425,30
405263,30
407059,30
408848,31
409611,31
417124,31
418896,30
420206,30
420386,30
424314,30
426070,30
427489,31
428026,31
428333,31
429042,31
432395,31
434164,30
434898,30
438784,31
440835,31
441541,31
442787,30
449971,30
452005,30
452021,31
458507,30
458859,31
458863,31
462321,31
467747,31
468515,31
470840,30
471622,31
472955,30
478369,30
479699,31
481325,31
483834,30
484364,30
492028,31
492384,31
496746,31
499112,30
503024,30
509992,30
510520,31
511634,30
515161,30
515989,30
516393,30
517036,31
517339,30
522755,30
525155,30
528392,30
528951,30
529048,31
531507,31
533397,31
534390,31
535278,31
536209,30
536253,31
537044,31
539616,30
541967,31
542166,30
544759,30
545110,31
545268,31
545672,31
546871,30
550947,31
556597,31
557763,30
560250,30
562477,31
563650,30
563787,30
564342,31
564638,30
567244,31
567304,30
567864,30
571244,31
572680,30
574199,31
577606,31
582638,31
583608,31
584010,30
586112,31
587467,31
589848,30
593358,30
598096,30
599130,30
604795,30
608972,31
