custid,test
1875,10
10170,10
18314,10
25256,10
25371,10
32031,10
39271,10
45559,10
52284,10
59543,10
60047,10
71533,10
72648,10
81983,10
84132,10
101383,10
105565,10
110099,10
114725,10
142226,10
143866,10
150738,10
153658,10
184412,10
189885,10
192926,10
194216,10
198033,10
204156,10
208751,10
227480,10
227858,10
236857,10
237506,10
242296,10
251512,10
254880,10
259466,10
259596,10
261300,10
262890,10
295309,10
319563,10
327752,10
343441,10
346931,10
347689,10
349965,10
356110,10
362476,10
366703,10
371407,10
374766,10
394754,10
403615,10
407418,10
423076,10
424036,10
426713,10
433335,10
441674,10
446895,10
446917,10
450592,10
466494,10
475939,10
478799,10
487957,10
490784,10
491292,10
500703,10
503194,10
503660,10
528481,10
528818,10
532952,10
541902,10
551259,10
555654,10
581178,10
590287,10
598819,10
602008,10
607713,10
608981,10
615231,10
626185,10
628111,10
631130,10
633312,10
653272,10
664933,10
666496,10
671146,10
674619,10
677735,10
680115,10
682342,10
687528,10
693497,10
693886,10
700087,10
703729,10
705533,10
723298,10
724537,10
771047,10
774717,10
787788,10
802527,10
806068,10
808578,10
815100,10
816048,10
826627,10
827014,10
831903,10
835979,10
838283,10
839591,10
855056,10
857443,10
857779,10
860627,10
861097,10
869177,10
877777,10
890999,10
892723,10
893832,10
909178,10
931587,10
938990,10
939299,10
956285,10
959714,10
970237,10
975750,10
983238,10
984923,10
992038,10
1003129,10
1008945,10
1012994,10
1028270,10
1042117,10
1050726,10
1059095,10
1064599,10
1070875,10
1082553,10
1086700,10
1089498,10
1097268,10
1106441,10
1137370,10
1145368,10
1145700,10
1147594,10
1154935,10
1168139,10
1183042,10
1189574,10
1214291,10
1220019,10
1220795,10
1234691,10
1246748,10
1254604,10
1265147,10
1268834,10
1269974,10
1272651,10
1280236,10
1285792,10
1298877,10
1330659,10
1334968,10
1336346,10
1341508,10
1349271,10
1356548,10
1362394,10
1367251,10
1379489,10
1384618,10
1401938,10
1403441,10
1417340,10
1440432,10
1447803,10
1452780,10
1459226,10
1469291,10
1474002,10
1476409,10
1478889,10
1490944,10
1496909,10
1498030,10
1504344,10
1521573,10
1522910,10
1530380,10
1535393,10
1541443,10
1547458,10
1559597,10
1559667,10
1573686,10
1582315,10
1583555,10
1585942,10
1589888,10
1608926,10
1615176,10
1618829,10
1625987,10
1627059,10
1630418,10
1643414,10
1659386,10
1674880,10
1682697,10
1683677,10
1695860,10
1696757,10
1702914,10
1705582,10
1718654,10
1721862,10
1725319,10
1726036,10
1729086,10
1734061,10
1735078,10
1738087,10
1746816,10
1753875,10
1756674,10
1758867,10
1766379,10
1766741,10
1770514,10
1771947,10
1775332,10
1783196,10
1785785,10
1788809,10
1791324,10
1791590,10
1797278,10
1804991,10
1806566,10
1807818,10
1815103,10
1822801,10
1823699,10
1833464,10
1841115,10
1841225,10
1846385,10
1847090,10
1857448,10
1876325,10
1882218,10
1883812,10
1885615,10
1887620,10
1890647,10
1892913,10
1900088,10
1903700,10
1904306,10
1907594,10
1908193,10
1920295,10
1937323,10
1937655,10
1937664,10
1937950,10
1941629,10
1941748,10
1949908,10
1950307,10
1954780,10
1956704,10
1958546,10
1973548,10
1991601,10
1996436,10
2004589,10
2014287,10
2017495,10
2018593,10
2024830,10
2027813,10
2027986,10
2036085,10
2036512,10
2037046,10
2039157,10
2044383,10
2050541,10
2053097,10
2060404,10
2062425,10
2073711,10
2079673,10
2085097,10
2090976,10
2095464,10
2119630,10
2120646,10
2135355,10
2135379,10
2135888,10
2146172,10
2168959,10
2170536,10
2174432,10
2179554,10
2185311,10
2188697,10
2199950,10
2204975,10
2208048,10
2212754,10
2214496,10
2215189,10
2229238,10
2230173,10
2239669,10
2242363,10
2244305,10
2251055,10
2269406,10
2278142,10
2283572,10
2293625,10
2295694,10
2296235,10
2303378,10
2312021,10
2316845,10
2318044,10
2320815,10
2338244,10
2346458,10
2349766,10
2349968,10
2356966,10
2358189,10
2361675,10
2364700,10
2365369,10
2370347,10
2370407,10
2372066,10
2377030,10
2389544,10
2394954,10
2398614,10
2398730,10
2400446,10
2404242,10
2405800,10
2406961,10
2409657,10
2412265,10
2412748,10
2417798,10
2420724,10
2425451,10
2425894,10
2430778,10
2430883,10
2433431,10
2436680,10
2439291,10
2439310,10
2443784,10
2449757,10
2456448,10
2459072,10
2462186,10
2470316,10
2472229,10
2476987,10
2483820,10
2484167,10
2488985,10
2489991,10
2493141,10
2494137,10
2503454,10
2504565,10
2510753,10
2515285,10
2516790,10
2522130,10
2527124,10
2527486,10
2528447,10
2532227,10
2533018,10
2535344,10
2539992,10
2544775,10
2554166,10
2554929,10
2582807,10
2585991,10
2590973,10
2592824,10
2602695,10
2606726,10
2607520,10
2610580,10
2617691,10
2619220,10
2619654,10
2620924,10
2621494,10
2633054,10
2637119,10
2637420,10
2648346,10
2648601,10
2650113,10
2653492,10
2654292,10
2656101,10
2656651,10
2659652,10
2668086,10
2668762,10
2674306,10
2676960,10
2677790,10
2681309,10
2688401,10
2692209,10
2701156,10
2702164,10
2702173,10
2702335,10
2705953,10
2705966,10
2708581,10
2714637,10
2723813,10
2731357,10
2731444,10
2731944,10
2734407,10
2738348,10
2739012,10
2739767,10
2741649,10
2742903,10
2745258,10
2749398,10
2750711,10
2756011,10
2757402,10
2761250,10
2763948,10
2770812,10
2776288,10
2777068,10
2779460,10
2785441,10
2786752,10
2787720,10
2787841,10
2789500,10
2791896,10
2792003,10
2796846,10
2801175,10
2801776,10
2802148,10
2805698,10
2812155,10
2830026,10
2834585,10
2836920,10
2839797,10
2839987,10
2851440,10
2859358,10
2865165,10
2865385,10
2867235,10
2870136,10
2871292,10
2880529,10
2883194,10
2885493,10
2890675,10
2891279,10
2893568,10
2894059,10
2900535,10
2901593,10
2901814,10
2902143,10
2902315,10
2910691,10
2910746,10
2914641,10
2918756,10
2921563,10
2922304,10
2922892,10
2931077,10
2932641,10
2937106,10
2941962,10
2946404,10
2947487,10
2948865,10
2950404,10
2950514,10
2952719,10
2959409,10
2960021,10
2965270,10
2967437,10
2967519,10
2969599,10
